Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.322309	Val Loss: 1.215356	Val Acc: 57	Test Acc: 55
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 1.176699	Val Loss: 1.207870	Val Acc: 58	Test Acc: 60
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 1.114044	Val Loss: 1.146330	Val Acc: 62	Test Acc: 60
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.077233	Val Loss: 1.162608	Val Acc: 59	Test Acc: 60
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 1.308641	Val Loss: 1.095215	Val Acc: 60	Test Acc: 62
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 1.326520	Val Loss: 1.137265	Val Acc: 60	Test Acc: 60
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 1.115897	Val Loss: 1.109688	Val Acc: 62	Test Acc: 57
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.221119	Val Loss: 1.091422	Val Acc: 62	Test Acc: 58
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 1.140345	Val Loss: 1.115929	Val Acc: 59	Test Acc: 59
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 1.154988	Val Loss: 1.118746	Val Acc: 60	Test Acc: 58
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 1.229099	Val Loss: 1.170338	Val Acc: 59	Test Acc: 59
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.057490	Val Loss: 1.192756	Val Acc: 58	Test Acc: 54
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 1.150671	Val Loss: 1.127046	Val Acc: 59	Test Acc: 60
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 1.106335	Val Loss: 1.062027	Val Acc: 62	Test Acc: 60
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 1.061974	Val Loss: 1.085370	Val Acc: 59	Test Acc: 63
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.167122	Val Loss: 1.033473	Val Acc: 63	Test Acc: 59
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 0.968489	Val Loss: 1.103219	Val Acc: 60	Test Acc: 58
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 0.993591	Val Loss: 1.095841	Val Acc: 61	Test Acc: 59
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 1.088669	Val Loss: 1.091359	Val Acc: 60	Test Acc: 61
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.299086	Val Loss: 1.139317	Val Acc: 57	Test Acc: 61
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 1.160280	Val Loss: 1.097615	Val Acc: 60	Test Acc: 58
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 1.030423	Val Loss: 1.094365	Val Acc: 62	Test Acc: 59
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 0.977342	Val Loss: 1.064049	Val Acc: 61	Test Acc: 59
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.062428	Val Loss: 1.101936	Val Acc: 60	Test Acc: 58
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 1.087060	Val Loss: 1.118355	Val Acc: 60	Test Acc: 61
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 1.269867	Val Loss: 1.068755	Val Acc: 63	Test Acc: 60
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 1.129724	Val Loss: 1.055505	Val Acc: 63	Test Acc: 60
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 1.013854	Val Loss: 1.040047	Val Acc: 64	Test Acc: 62
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.152263	Val Loss: 1.052683	Val Acc: 62	Test Acc: 63
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 1.106602	Val Loss: 1.041956	Val Acc: 64	Test Acc: 63
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 1.217966	Val Loss: 1.055148	Val Acc: 65	Test Acc: 58
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 0.868303	Val Loss: 1.035251	Val Acc: 63	Test Acc: 65
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 1.008695	Val Loss: 0.987994	Val Acc: 66	Test Acc: 62
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 1.120618	Val Loss: 1.036133	Val Acc: 63	Test Acc: 65
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 1.107136	Val Loss: 1.029566	Val Acc: 65	Test Acc: 58
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 1.106519	Val Loss: 1.073016	Val Acc: 64	Test Acc: 63
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 1.017244	Val Loss: 1.034659	Val Acc: 62	Test Acc: 60
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 1.229758	Val Loss: 0.994180	Val Acc: 66	Test Acc: 61
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 0.908769	Val Loss: 1.003020	Val Acc: 64	Test Acc: 69
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.032759	Val Loss: 0.984377	Val Acc: 65	Test Acc: 64
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 1.178075	Val Loss: 1.030374	Val Acc: 62	Test Acc: 61
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 0.905839	Val Loss: 1.060431	Val Acc: 61	Test Acc: 65
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 0.993213	Val Loss: 1.082267	Val Acc: 62	Test Acc: 64
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 1.073592	Val Loss: 1.009718	Val Acc: 65	Test Acc: 64
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 1.117699	Val Loss: 1.065251	Val Acc: 64	Test Acc: 61
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 0.926672	Val Loss: 0.987385	Val Acc: 66	Test Acc: 64
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 0.876519	Val Loss: 1.014817	Val Acc: 66	Test Acc: 63
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 1.064137	Val Loss: 1.010259	Val Acc: 65	Test Acc: 65
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 1.087030	Val Loss: 1.039004	Val Acc: 63	Test Acc: 64
